N.,N. senza ossigeno,Nome,Sesso,Periodo,Anni,Età,Nazionalità
1,1,Reinhold Messner,M,1970/1986,16,42,Italia
2,[21],Jerzy Kukuczka,M,1979/1987,8,39,Polonia
3,2,Erhard Loretan,M,1982/1995,13,36,Svizzera
4,[22],Carlos Carsolio,M,1985/1996,11,33,Messico
5,,Krzysztof Wielicki,M,1980/1996,16,46,Polonia
6,3,Juanito Oiarzabal,M,1985/1999,14,43,Spagna
7,[21],Sergio Martini,M,1976/2000,24,51,Italia
8,,Hong-Gil Um,M,1988/2000,12,38,Corea del Sud
9,,Park Young Seok,M,1993/2001,8,40,Corea del Sud
10,4,Alberto Iñurrategi,M,1991/2002,11,33,Spagna
11,,Han Wang Yong,M,1994/2003,9,37,Corea del Sud
12,5,Edmund Viesturs,M,1989/2005,16,46,Stati Uniti
13,6,Silvio Mondinelli,M,1993/2007,14,49,Italia
14,7,Iván Vallejo,M,1997/2008,11,49,Ecuador
15,8,Denis Urubko,M,2000/2009,9,35,Kazakistan
16,,Ralf Dujmovits,M,1990/2009,19,47,Germania
17,9,Veikka Gustafsson[23],M,1994/2009,15,41,Finlandia
18,,Andrew Lock,M,1993/2009,16,48,Australia
19,10,João Garcia[24],M,1993/2010,17,43,Portogallo
20,,Piotr Pustelnik[25],M,1990/2010,20,58,Polonia
21 (I donna),[26],Edurne Pasaban,F,2001/2010,9,36,Spagna
22,[27],Abele Blanc[28],M,1992/2011,19,56,Italia
23,,Mingma Sherpa[20],M,2000/2011,11,33,Nepal
24 (II donna),11 (I donna),Gerlinde Kaltenbrunner,F,1998/2011,13,40,Austria
25,[21],Vassili Pivtsov,M,2001/2011,10,36,Kazakistan
26,12,Maksut Zhumayev,M,2001/2011,10,34,Kazakistan
27,,Kim Jae-Soo,M,2000/2011,11,50,Corea del Sud
28,13,Mario Panzeri,M,1988/2012,24,48,Italia
29,,Hirotaka Takeuchi,M,1995/2012,17,41,Giappone
30,,Chhang Sherpa,M,2003/2013,10,30,Nepal
31,14,Kim Chang-Ho,M,2005/2013,8,43,Corea del Sud
32,,Jorge Egocheaga,M,2002/2014,12,45,Spagna
33,15,Radek Jaroš,M,1998/2014,16,50,Rep. Ceca
34/35 (III donna),16/17 (II donna),Nives Meroi,F,1998/2017,19,55,Italia
34/35,16/17,Romano Benet,M,1998/2017,19,55,Italia
36,,Peter Hámor,M,1998/2017,19,52,Slovacchia
37,18,Azim Gheychisaz,M,2008/2017,9,37,Iran
38,,Ferran Latorre,M,1999/2017,18,46,Spagna
39,19,Oscar Cadiach,M,1984/2017,33,65,Spagna
40,[18],Nirmal Purja,M,2014/2019,5,36,Nepal
41,20,Marco Camandona,M,2000/2024,24,54,Italia
42,,Mario Vielmo,M,1998/2024,26,59,Italia
