山峰,海拔高度[11],位置[11][12],首次登顶 [11],首登者[11],冬季首登,冬季首登者,登顶次数[13],死亡人数[13],死亡率[13],1990年前死亡率[14] (graph),"1990–2003年死亡率[14] (graph, change)"
珠穆朗玛峰,"8849米 29,032英尺",尼泊尔  中国,1953年5月29日,埃德蒙·希拉里  丹增诺盖,1980年2月17日,克尔茨托夫·维利斯基  莱斯泽克·斯奇,5656,223,4.0%,37%,4.4%
喬戈里峰,"8611米 28,251英尺",巴基斯坦  中国[15][16][17],1954年7月31日,阿奇里·科帕哥諾尼  里诺·莱斯德利,2021年1月16日,寧斯·普爾加 Gelje Sherpa Mingma David Sherpa Mingma G Sona Sherpa Mingma Tenzi Sherpa Pem Chhiri Sherpa Dawa Temba Sherpa Kili Pemba Sherpa Dawa Tenjing Sherpa,306,81,29.5%,41%,19.7%
干城章嘉峰,"8586米 28,169英尺",尼泊尔  印度[18],1955年5月25日,乔治·邦德  乔·布朗,1986年1月11日,克尔茨托夫·维利斯基  捷西·库库奇卡,283,40,14.5%,21%,22.0%
洛子峰,"8516米 27,940英尺",尼泊尔  中国,1956年5月18日,弗里茨·卢克辛格  厄内斯特·雷斯,1988年12月31日,克尔茨托夫·维利斯基,461,13,2.8%,14%,2.0%
马卡鲁峰,"8463米 27,766英尺",尼泊尔  中国,1955年5月15日,琼·库西  莱昂内尔·特雷,2009年2月9日,西蒙尼·莫罗  丹尼斯·纽博克,361,31,8.9%,16%,8.5%
卓奧友峰,"8201 m 26,906 ft",尼泊爾  中國,1954年10月19日,Joseph Joechler  Pasang Dawa Lama  Herbert Tichy,1985年2月12日,Maciej Berbeka  Maciej Pawlikowski,3138,44,1.4%,,
道拉吉里峰,"8167 m 26,795 ft",尼泊爾,1960年5月13日,Kurt Diemberger  Peter Diener  Nawang Dorje  Nima Dorje  Ernst Forrer  Albin Schelbert,1985年1月21日,Andrzej Czok  Jerzy Kukuczka,448,69,15.7%,31%,11.0%
马纳斯卢峰,"8163 m 26,781 ft",尼泊爾,1956年5月9日,Toshio Imanishi  Gyalzen Norbu,1984年1月12日,Maciej Berbeka  Ryszard Gajewski,661,65,9.9%,35%,13.4%
南迦帕尔巴特峰,"8126 m 26,660 ft",巴基斯坦,1953年7月3日,Hermann Buhl,2016年2月26日,Simone Moro  穆罕默德·阿里·萨帕拉  Alex Txikon,335,68,20.7%,77%,5.5%
安納布爾納峰,"8091 m 26,545 ft",尼泊爾,1950年6月3日,莫里斯·荷索  路易·拉什纳尔,1987年2月3日,Jerzy Kukuczka  Artur Hajzer,191,61,33.5%,66%,19.7%
加舒爾布魯木I峰,"8080 m 26,444 ft",巴基斯坦  中國,1958年7月5日,Andrew Kauffman  Pete Schoening,2012年3月9日,Adam Bielecki  Janusz Gołąb,334,29,8.9%,16%,8.8%
布洛阿特峰,"8051 m 26,414 ft",巴基斯坦  中國,1957年1月9日,Fritz Wintersteller  Marcus Schmuck  Kurt Diemberger  Hermann Buhl,2013年3月5日,Maciej Berbeka  Adam Bielecki  Tomasz Kowalski  Artur Małek,404,21,5.3%,5%,8.6%
加舒爾布魯木II峰,"8035 m 26,362 ft",巴基斯坦  中國,1956年7月7日,Fritz Moravec  Josef Larch  Hans Willenpart,2011年2月2日,Simone Moro  丹尼斯·纽博克  Cory Richards,930,21,2.3%,8%,0.4%
希夏邦馬峰,"8027 m 26,335 ft",中國,1964年5月2日,許競  張俊岩  王富洲  陳山  成天亮  鄔宗岳  索南多吉  尼瑪扎西  多吉  雲登,2005年1月14日,Piotr Morawski  Simone Moro,302,25,8.4%,2%,16.8%
