Rang,Gipfel,Höhe (in m),Schartenhöhe (in m),Bezugsberg,Staat,Gebirge,Gebirgszug
1,Gangkhar Puensum,7570,2995,Kangchendzönga,Bhutan/China (Tibet),Himalaya,
2,Kunyang Chhish West,7350,170,Kunyang Chhish,Pakistan,Karakorum,Hispar Muztagh
3,Summa Ri I,7302,202,Skilbrum,Pakistan,Karakorum,Baltoro Muztagh
4,Saser Kangri Plateau Peak,7287,207,Saser Kangri,Indien,Karakorum,Saser Muztagh
5,Lapche Kang III,7250,570,Lapche Kang,China (Tibet),Himalaya,Lapche Himal
6,Apsarasas Kangri III,7236,416,Apsarasas Kangri II,Indien/China (Xinjiang),Karakorum,Siachen Muztagh
7,Karjiang I,7221,895,Kula Kangri,China (Tibet),Himalaya,
8,Tongshanjiabu,7207,1757,Gangkhar Puensum,Bhutan/China (Tibet),Himalaya,
9,Skyang Kangri West,7174,194,Skyang Kangri,Pakistan/China (Xinjiang),Karakorum,Baltoro Muztagh
10,Chamar Süd,7161,219,Chamar,Nepal,Himalaya,
11,Namcha Barwa II,7146,166,Namcha Barwa,China (Tibet),Himalaya,
12,Asapurna I,7140,262,Annapurna I,Nepal,Himalaya,Annapurna Himal
13,Praqpa Kangri,7134,668,Skilbrum,Pakistan,Karakorum,Baltoro Muztagh
14,Annapurna Dakshin Nord Ost,7125,454,Annapurna Süd,Nepal,Himalaya,Annapurna Himal
15,Teri Kang,7125,454,Tongshanjiabu,Bhutan,Himalaya,
16,Sanglung,7095,995,Namcha Barwa,China (Tibet),Himalaya,
17,Sia Kangri II,7093,401,Sia Kangri,Pakistan/China (Xinjiang),Karakorum,Baltoro Muztagh
18,Himlung II,7092,272,Himlung,Nepal,Himalaya,
19,Urdok Kangri II,7082,232,Urdok I,Pakistan/China (Xinjiang),Karakorum,Baltoro Muztagh
20,Mandu Kangri II,7081,121,Mandu Kangri,Pakistan,Karakorum,Masherbrum-Berge
21,Asapurna II,7069,156,Annapurna I,Nepal,Himalaya,Annapurna Himal
22,Malangutti Sar Süd,7061,157,Malangutti Sar,Pakistan,Karakorum,Hispar Muztagh
23,Zongophu Kang,7047,1383,Tongshanjiabu,Bhutan/China (Tibet),Himalaya,
24,Karjiang II,7045,195,Karjiang I,China (Tibet),Himalaya,
25,Shudu Tsenpa,7024,547,Pauhunri,Indien/China (Tibet),Himalaya,
26,Lapche Kang III West,7020,120,Lapche Kang II,China (Tibet),Himalaya,Lapche Himal
27,Sherpi Kangri Ost,7000,480,Sherpi Kangri,Pakistan/Indien,Karakorum,Saltoro-Berge
