Name,Koordinaten,Größe (km),benannt nach
Kraken Mare,"68,00 N – 310,00",1170,Kraken (Mythologie)
Ligeia Mare,"79,00 N – 248,00",500,"Ligeia, eine griechische Sagengestalt"
Punga Mare,"85,10 N – 339,70",380,Punga
Abaya Lacus,"73,17 N – 045,55",65,"Abajasee, Äthiopien"
Albano Lacus,"65,9 N – 236,4",62,"Albaner See, Italien"
Atitlán Lacus,"69,3 N – 238,8",137,"Lago de Atitlán, Guatemala"
Bolsena Lacus,"75,75 N – 010,28",101,"Bolsenasee, Italien"
Cardiel Lacus,"70,2 N – 206,5",22,"Lago Cardiel, Argentinien"
Cayuga Lacus,"69,8 N – 230",227,"Cayuga Lake, USA"
Chapala Lacus,"72,47 N – 142,63",23,"Chapalasee, Mexiko"
Crveno Lacus,"79,55 S – 184,91",41,"Roter See (Imotski), Kroatien"
Dem Lacus,"75,17 N – 138,41",26,"Demsee, Burkina Faso"
Feia Lacus,"73,70 N – 064,41",47,"Lagoa Feia, Brasilien"
Fena Lacus,"74,57 N – 139,53",16,"Fena Lake, Guam"
Freeman Lacus,"73,6 N – 211,1",26,"Lake Freeman, USA"
Hammar Lacus,"48,6 N – 308,29",200,"Hawr al-Ḥammār, Irak"
Jingpo Lacus,"73,00 N – 336,00",240,"Jingpo Hu, Volksrepublik China"
Junín Lacus,"66,9 N – 236,9",63,"Junín-See, Peru"
Kayangan Lacus,"86,3 S – 202,17",62,"Kayangan-See, Philippinen"
Kivu Lacus,"87,00 N – 121,00",775,"Kiwusee, Grenze zwischen Ruanda und Demokratische Republik Kongo"
Koitere Lacus,"79,40 N – 036,14",68,"Koitere, Finnland"
Ladoga Lacus,"74,8 N – 026,1",110,"Ladogasee, Russland"
Lanao Lacus,"71 N – 217,7",345,"Lanao-See, Philippinen"
Mackay Lacus,"78,32 N – 097,53",180,"Lake Mackay, Australien"
Müggel Lacus,"84,44 N – 203,5",170,"Müggelsee, Deutschland"
Mývatn Lacus,"78,19 N – 135,28",55,"Mývatn, Island"
Neagh Lacus,"81,11 N – 032,16",98,"Lough Neagh, Nordirland"
Ohrid Lacus,"71,8 N – 221,9",173,"Ohridsee, Grenze zwischen Nordmazedonien und Albanien"
Oneida Lacus,"76,14 N – 131,83",51,"Oneida Lake, USA"
Ontario Lacus,"72,00 S – 183,00",235,"Ontariosee, Grenze zwischen Kanada und USA"
Robino Lacus,"74,28 N – 140,46",11,"Lagon Robino, Haiti"
Sevan Lacus,"69,7 N – 225,6",469,"Sewansee, Armenien"
Shoji Lacus,"79,74 S – 166,37",58,"Shoji-See, Japan"
Sionascaig Lacus,"41,52 S – 278,12",1432,"Loch Sionascaig, Schottland"
Sotonera Lacus,"76,75 N – 126,00",63,"Embalse de la Sotonera, Spanien"
Sparrow Lacus,"84,30 N – 064,70",814,"Sparrow Lake, Kanada"
Tibi Lacus,"76,65 N – 135,75",47,"Lake Tibi, Southern Province, Sierra Leone"
Towada Lacus,"71,4 N – 244,2",24,"Towada-See, Japan"
Tsomgo Lacus,"86,37 S – 162,41",59,"Tsomgo-See, Indien"
Urmia Lacus,"39,27 S – 276,55",286,"Urmiasee, Iran"
Uvs Lacus,"69,6 S – 245,7",269,"Uws Nuur, Mongolei"
Vaca Lacus,"77,00 N – 131,93",46,"Vaca Lake, Belize"
Vänern Lacus,"70,4 N – 223,1",439,"Vänern, Schweden"
Waikare Lacus,"81,60 N – 126,00",525,"Lake Waikare , Neuseeland"
Atacama Lacuna,"68,2 N – 227,6",359,"Salar de Atacama, Chile"
Eyre Lacuna,"72,6 N – 225,1",254,"Lake Eyre, Australien"
Jerid Lacuna,"66,7 N – 221",426,"Chott el Djerid, Tunesien"
Kutch Lacuna,"88,4 N – 217",175,"Rann von Kachchh, Grenze zwischen Indien und Pakistan"
Melrhir Lacuna,"64,9 N – 212,6",23,"Schott Melghir, Algerien"
Nakuru Lacuna,"65,81 N – 94",188,"Nakurusee, Kenia"
Ngami Lacuna,"66,7 N – 213,9",372,"Ngamisee, Botswana"
Racetrack Lacuna,"66,1 N – 224,9",99,"Racetrack Playa, USA"
Uyuni Lacuna,"66,3 N – 228,4",27,"Salar de Uyuni, Bolivien"
Veliko Lacuna,"76,8 S – 33,1",93,"Veliko jezero, Bosnien und Herzegowina"
Woytchugga Lacuna,"68,88 N – 109",449,"Lake Woytchugga, Australien"
