Nome,Coordinate,Diametro (km),Origine del nome
Abaya Lacus,73°10′12″N 45°33′00″W,65.0,"Lago Abaya, Etiopia"
Bolsena Lacus,75°45′00″N 10°16′48″W,101.0,"Lago di Bolsena, Italia"
Feia Lacus,73°42′00″N 64°24′36″W,47.0,"Lagoa Feia, Brasile"
Jingpo Lacus,73°N 336°W,240.0,"Lago Jingpo, Cina"
Kivu Lacus,87°N 121°W,77.5,"Lago Kivu, alla frontiera tra Ruanda e Repubblica Democratica del Congo"
Koitere Lacus,79°24′00″N 36°08′24″W,68.0,"Koitere, Finlandia"
Mackay Lacus,78°19′12″N 97°31′48″W,180.0,"Lago Mackay, Australia"
Mývatn Lacus,78°11′24″N 135°16′48″W,55.0,"Mývatn, Islanda"
Neagh Lacus,81°06′36″N 32°09′36″W,98.0,"Lough Neagh, Irlanda del Nord"
Oneida Lacus,76°08′24″N 131°49′48″W,51.0,"Lago Oneida, USA"
Ontario Lacus,72°S 183°W,235.0,"Lago Ontario, alla frontiera tra Canada e Stati Uniti d'America."
Sotonera Lacus,76°45′00″N 17°29′24″W,63.0,"Lago Sotonera, Spagna"
Sparrow Lacus,84°18′N 64°42′W,81.4,"Lago Sparrow, Canada"
Waikare Lacus,81°36′N 126°00′W,52.5,"Lago Waikare, Nuova Zelanda"
