Naam,Coördinaten,Lengte (km),Naamgeving
Abaya Lacus,"73.17°NB, 45.55°WL",65.0,"Abayameer, Ethiopië"
Albano Lacus,"65.9°NB, 236.4°WL",6.2,"Meer van Albano, Italië"
Atitlán Lacus,"69.3°NB, 238.8°WL",13.7,"Meer van Atitlán, Guatemala"
Bolsena Lacus,"75.75°NB, 10.28°WL",101.0,"Meer van Bolsena, Italië"
Cardiel Lacus,"70.2°NB, 206.5°WL",22.0,"Cardielmeer, Argentinië"
Cayuga Lacus,"69.8°NB, 230.0WL",22.7,"Cayugameer, USA"
Crveno Lacus,"79.6°ZB, 184.9°WL",41.0,"Crveno Jezero, Kroatië"
Feia Lacus,"73.7°NB, 64.41°WL",47.0,"Lagoa Feia, Brazilië"
Freeman Lacus,"73.6°NB, 211.1°WL",26.0,"Freemanmeer, USA"
Hammar Lacus,"48.6°NB, 308.29°WL",200.0,"Hammarmeer, Irak"
Jingpo Lacus,"73.0°NB, 336.0°WL",240.0,"Jingpomeer, China"
Junín Lacus,"66.9°NB, 236.9°WL",6.3,"Junínmeer, Peru"
Kayangan Lacus,"86.3°ZB, 236.9°WL",6.2,"Kayanganmeer, Filipijnen"
Kivu Lacus,"87.0°NB, 121.0°WL",77.5,"Kivumeer, op de grens van Rwanda en Congo-Kinshasa"
Koitere Lacus,"79.4°NB, 36.14°WL",68.0,"Koitere, Finland"
Ladoga Lacus,"74.8°NB, 26.1°WL",110.0,"Ladogameer, Rusland"
Lanao Lacus,"71.0°NB, 217.7°WL",34.5,"Lanaomeer, Filipijnen"
Logtak Lacus,"70.8°NB, 124.1°WL",14.3,"meer van Loktak, India"
Mackay Lacus,"78.32°NB, 97.53°WL",180.0,"Mackaymeer, Australië"
Müggel Lacus,"84.44°NB, 203.5°WL",170.0,"Müggelsee, Duitsland"
Mývatn Lacus,"78.19°NB, 135.28°WL",55.0,"Mývatn, IJsland"
Neagh Lacus,"81.11°NB, 32.16°WL",98.0,"Lough Neagh, Noord-Ierland"
Ohrid Lacus,"71.8°NB, 221.9°WL",17.3,"Meer van Ohrid, op de grens van Noord-Macedonië en Albanië"
Oneida Lacus,"76.14°NB, 131.83°WL",51.0,"Oneidameer, USA"
Ontario Lacus,"72.0°ZB, 183.0°WL",235.0,"Ontariomeer, op de grens van Canada en de Verenigde Staten"
Sevan Lacus,"69.7°NB, 125.6°WL",46.9,"Sevanmeer, Armenië"
Shoji Lacus,"79.7°ZB, 166.4°WL",5.8,"Shojimeer, Japan"
Sionascaig Lacus,"41.52°ZB, 278.12°WL",143.2,"Sionascaigmeer, Schotland"
Sotonera Lacus,"76.75°NB, 17.49°WL",63.0,"Sotonerameer, Spanje"
Sparrow Lacus,"84.3°NB, 64.7°WL",81.4,"Sparrowmeer, Canada"
Towada Lacus,"71.4°NB, 244.2°WL",24.0,"Towadameer, Japan"
Tsomgo Lacus,"86.4°ZB, 162.4°WL",59.0,"Tsomgomeer, India"
Urmia Lacus,"39.27°ZB, 276.55°WL",28.6,"Urmiameer, Iran"
Uvs Lacus,"69.6°NB, 245.7°WL",26.9,"Uvs Nuur, Mongolië"
Vänern Lacus,"70.4°NB, 223.1°WL",43.9,"Vänern, Zweden"
Waikare Lacus,"81.6°NB, 126.0°WL",52.5,"Waikaremeer, Nieuw-Zeeland"
