Rang,Name,Staat(en),Fläche (km²),Länge (km)
1.0,Lake Eyre,Australien,9.69,
2.0,Chott el Djerid,Tunesien,7.7,200.0
3.0,Schott Melghir,Algerien,6.7,130.0
4.0,Lake Torrens,Australien,5.745,240.0
5.0,Etosha-Pfanne,Namibia,4.76,120.0
6.0,Lake Gairdner,Australien,4.351,160.0
7.0,Lake Mackay,Australien,3.494,100.0
8.0,Lake Frome,Australien,2.596,100.0
9.0,Goud-e-Zereh,Afghanistan,2.418,
10.0,Hamunsee,Afghanistan – Iran,2.389,150.0
11.0,Lake Macleod,Australien,2.331,
12.0,Schott Ech Chergui,Algerien,2.0,160.0
13.0,Hamoun-e Puzak,Afghanistan – Iran,1.514,
14.0,Lake Barlee,Australien,1.424,108.0
15.0,Lake Moore,Australien,1.163,120.0
16.0,Hawr as Sanīyah,Irak,1.142,
17.0,Schott el Hodna,Algerien,1.1,80.0
18.0,Eyasisee,Tansania,1.05,72.0
