N°,Vetta,"Quota, m",Sezione alpina,Gruppo UIAA
1,Pic Lory,4086,Alpi del Delfinato,Massiccio des Écrins
2,Roc,4026,Alpi Graie,Gruppo del Gran Paradiso
3,Piton des Italiens,4003,Alpi Graie,Gruppo del Monte Bianco
4,Pointe Bravais,4057,Alpi Graie,Gruppo del Monte Bianco
5,Pointe Bayeux,4258,Alpi Graie,Gruppo del Monte Bianco
6,Grande Bosse,4513,Alpi Graie,Gruppo del Monte Bianco
7,Petite Bosse,4547,Alpi Graie,Gruppo del Monte Bianco
8,Rocher de la Tournette,4677,Alpi Graie,Gruppo del Monte Bianco
9,Pic Eccles,4041,Alpi Graie,Gruppo del Monte Bianco
10,Aiguille de la Belle Étoile,4354,Alpi Graie,Gruppo del Monte Bianco
11,"Aiguille Blanche de Peuterey, punta NW",4104,Alpi Graie,Gruppo del Monte Bianco
12,"Aiguille Blanche de Peuterey, punta SE",4107,Alpi Graie,Gruppo del Monte Bianco
13,Pointe Mieulet,4287,Alpi Graie,Gruppo del Monte Bianco
14,Pointe de l'Androsace,4107,Alpi Graie,Gruppo del Monte Bianco
15,Terzo pilastro del Col Maudit,4064,Alpi Graie,Gruppo del Monte Bianco
16,Gendarme del Col Maudit,4032,Alpi Graie,Gruppo del Monte Bianco
17,"Mont Blanc du Tacul, punta E",4247,Alpi Graie,Gruppo del Monte Bianco
18,Pilier du Diable,4067,Alpi Graie,Gruppo del Monte Bianco
19,Pointe Croux,4023,Alpi Graie,Gruppo del Monte Bianco
20,Punta Eveline,4026,Alpi Graie,Gruppo del Monte Bianco
21,Aiguille du Croissant,4243,Alpi Pennine,Alpi Pennine
22,Gendarme a SE del Combin de la Tsessette,4088,Alpi Pennine,Alpi Pennine
23,"Dent d'Hérens, L'Épaule",4040,Alpi Pennine,Alpi Pennine
24,"Dent d'Hérens, Gendarme crochu",4075,Alpi Pennine,Alpi Pennine
25,"Dent d'Hérens, la Corne",4148,Alpi Pennine,Alpi Pennine
26,Pic Tyndall (Cresta del Leone sul Cervino),4241,Alpi Pennine,Alpi Pennine
27,"Cervino, vetta Italiana",4476,Alpi Pennine,Alpi Pennine
28,Picco Muzio (Cresta di Furggen sul Cervino),4187,Alpi Pennine,Alpi Pennine
29,"Dent Blanche, Gran Gendarme",4098,Alpi Pennine,Alpi Pennine
30,"Bishorn, Punta Burnaby",4135,Alpi Pennine,Alpi Pennine
31,"Weisshorn, Grand Gendarme",4331,Alpi Pennine,Alpi Pennine
32,"Zinalrothorn, L'Épaule",4017,Alpi Pennine,Alpi Pennine
33,Punta Felik,4093,Alpi Pennine,Alpi Pennine
34,Naso del Lyskamm,4272,Alpi Pennine,Alpi Pennine
35,Roccia della Scoperta,4178,Alpi Pennine,Alpi Pennine
36,Balmenhorn,4167,Alpi Pennine,Alpi Pennine
37,Grenzgipfel,4618,Alpi Pennine,Alpi Pennine
38,Punta Dunant,4632,Alpi Pennine,Alpi Pennine
39,"Lenzspitze, Grand Gendarme",4091,Alpi Pennine,Alpi Pennine
40,"Dom, Grand Gendarme",4468,Alpi Pennine,Alpi Pennine
41,"Alphubel, Cima N",4116,Alpi Pennine,Alpi Pennine
42,"Alphubel, Cima NE",4128,Alpi Pennine,Alpi Pennine
43,"Alphubel, Cima S",4166,Alpi Pennine,Alpi Pennine
44,"Rimpfischhorn, Grand Gendarme",4108,Alpi Pennine,Alpi Pennine
45,Wengen Jungfrau,4089,Alpi Bernesi,Alpi Bernesi
46,Punta Perrucchetti/La Spedla,4020,Alpi Retiche occidentali,Gruppo del Bernina
