Datum,Ort,Land,Opfer,Bemerkungen,T,M,Q
1101,Khorasan,"Islamisches Kalifat, Provinz Persien, heute Iran",60.0,,10.0,65.0,2
1117,Epizentrum bei Verona,"Oberitalien, Schweiz",,"Die dem Erdbeben von Verona 1117 zugeschriebenen Schäden, im fast gesamten Mitteleuropa, gehen wahrscheinlich auf mehrere Ereignisse zurück",,,
1137,Catania,Italien,15.0,,,,2
1138,Aleppo,"Islamisches Kalifat, Provinz Syrien",230.0,Erdbeben von Aleppo 1138,,,1
1139,Gəncə,"Islamisches Kalifat, Provinz Persien, heute zu Aserbaidschan",230.0,Auch in Syrien soll es 1139 ein Erdbeben mit über 200.000 Toten gegeben haben. Eventuell wurden von frühen Historikern verschiedene Erdbeben der damaligen Zeit vermischt. In den Kreuzrittergeschichten wird zu diesem Zeitpunkt und in dieser Region von gewaltigen Beben berichtet.,,,[7]
1143,Ningxia,China,10.0,,,60.0,2
1153,Butrint,Albanien,,,,,2/[8]
1157,Damaskus,"Islamisches Kalifat, Provinz Syrien",80.0,,,,2
1169,Syrakus,Italien,16.0,,,,2
