Rank,Event origin time,ISC Event #,Papers,ISC code,Event
1,2011-03-11 05:46:23,16461282,2069,TOHOKU2011,2011 Tōhoku earthquake and tsunami
2,2008-05-12 06:28:00,13228121,1706,WENCHUAN2008,2008 Sichuan earthquake
3,2004-12-26 00:58:52,7453151,967,SUMATRA2004,2004 Indian Ocean earthquake and tsunami
4,1999-09-20 17:47:16,1718616,771,CHI-CHI1999,1999 Jiji earthquake
5,1995-01-16 20:46:51,124708,558,SHYOGO1995,1995 Great Hanshin earthquake
6,2010-02-27 06:34:13,14340585,551,MAULE2010,2010 Chile earthquake
7,1994-01-17 12:30:54,189275,548,NORTHRIDGE1994,1994 Northridge earthquake
8,2009-04-06 01:32:42,13438018,525,LAQUILA2009,2009 L'Aquila earthquake
9,1989-10-18 00:04:14,389808,520,LOMAPRIETA1989,1989 Loma Prieta earthquake
10,2015-04-25 06:11:26,607208674,516,GORKHA2015,2015 Nepal earthquake
11,1992-06-28 11:57:35,289086,440,LANDERS1992,1992 Landers earthquake
12,1999-08-17 00:01:38,1655218,428,IZMIT1999,1999 İzmit earthquake
13,2016-04-15 16:25:06,610289055,366,KUMAMOTO2016,2016 Kumamoto earthquakes
14,2013-04-20 00:02:47,607304721,342,LUSHAN2013,2013 Lushan earthquake
15,1964-03-28 03:36:13,869809,333,ALASKA1964,1964 Alaska earthquake
16,1960-05-22 19:11:20,879136,290,VALDIVIA1960,1960 Valdivia earthquake
17,2023-02-06 01:17:34,625613033,277,TURKYIE-SYRIA2023,2023 Turkey–Syria earthquakes
18,2016-08-24 01:36:33,611462212,259,AMATRICE2016,2016 Central Italy earthquake
19,2010-09-03 16:35:46,15155483,257,DARFIELD2010,2010 Canterbury earthquake
20,2001-01-26 03:16:40,1763683,256,BHUJ2001,2001 Gujarat earthquake
21,1985-09-19 13:17:50,516095,253,MEXICOCITY1985,1985 Mexico City earthquake
22,2022-01-15 04:14:45,621831271,252,HUNGATONGAHUNGAAPAI2022,2022 Hunga Tonga–Hunga Haʻapai eruption and tsunami
23,2016-11-13 11:02:59,615035032,251,KAIKOURA2016,2016 Kaikōura earthquake
24,1971-02-09 14:00:40,787038,244,SANFERNANDO1971,1971 San Fernando earthquake
25,1976-07-27 19:42:53,711732,235,TANGSHAN1976,1976 Tangshan earthquake
26,2003-09-25 19:50:07,7134409,221,TOKACHI-OKI2003,2003 Tokachi earthquake
27,2019-07-06 03:19:55,616203758,221,RIDGECREST2019B,2019 Ridgecrest earthquakes
28,1980-11-23 18:34:52,635924,212,IRPINIA1980,1980 Irpinia earthquake
29,2004-10-23 08:55:58,7421058,205,MID-NIIGATA2004,2004 Chūetsu earthquake
30,2012-05-20 02:03:53,601025379,205,EMILIA2012A,2012 Northern Italy earthquakes
31,2011-02-21 23:51:42,16168897,204,CHRISTCHURCH2011,2011 Christchurch earthquake
32,1976-05-06 20:00:12,713583,199,FRIULI1976,1976 Friuli earthquake
33,2005-03-28 16:09:35,7486110,197,NIAS2005,2005 Nias–Simeulue earthquake
34,2004-09-28 17:15:24,7406045,197,PARKFIELD2004,2004 Parkfield earthquake
35,2023-02-06 10:24:50,625614289,195,TURKYIE-SYRIA2023A,2023 Turkey–Syria earthquakes
36,2016-10-30 06:40:19,609624987,194,NORCIA2016,2016 Central Italy earthquakes
37,1923-09-01 02:58:35,911526,193,KANTO1923,1923 Great Kantō earthquake
34,1999-10-16 09:46:45,1643776,184,HECTOR-MINE1999,1999 Hector Mine earthquake
35,2005-10-08 03:50:37,7703077,181,KASHMIR2005,2005 Kashmir earthquake
38,2017-08-08 13:19:49,610874246,178,JUIZHAIGOU2017,2017 Jinghe earthquake
39,2001-11-14 09:26:12,2331800,176,KUNLUN2001,2001 Kunlun earthquake
40,2015-09-16 22:54:30,611531714,175,ILLAPEL2015,2015 Illapel earthquake
41,2014-04-01 23:46:47,610102185,167,IQUIQUE2014,2014 Iquique earthquake
42,2021-05-21 18:04:13,620437814,166,MADUO2021,2021 Maduo earthquake
43,1979-10-15 23:16:57,657282,165,IMPERIAL1979,1979 Imperial Valley earthquake
44,2002-11-03 22:12:41,6123395,164,DENALI2002,2002 Denali earthquake
45,1999-11-12 16:57:19,1650092,162,DUZCE1999,1999 Düzce earthquake
46,2010-04-04 22:40:43,600257057,158,EL-MAYOR-CUCAPAH2010,2010 Baja California earthquake
47,2019-07-04 17:33:50,616217956,158,RIDGECREST2019A,2019 Ridgecrest earthquakes
48,2010-01-12 21:53:10,14226221,157,HAITI2010,2010 Haiti earthquake
